Class,Width,Height,Length,Velocity,P_max_V,P_min_V,P_max_A,P_min_A,GA_mean_H,GA_mean_V,GA_SD_H,GA_SD_V,PressureMean,PressureSD,PCAvgPos,PCSDPos,PCMax,PCAvgNeg,PCSDNeg,PCMin,Error,PeakpresMean,ErrorStopTime,AngleMean,AngleVar,ReglineSlope,ReglineIntercept,LoopCount,AngleSpeed,ErrorRate
1,2442.1864013672352,915.8097999572784,36176.4288607344,1.8046380687538623,95.69482370908784,0.08796340942290896,89.75692583738767,3.487482108706468e-05,103.1440177252585,91.96307237813885,11.915659405026487,9.918893318082992,5131.781953645422,1381.999860815659,4.839072082650805,13.317964020951088,278.0678710937193,4.839072082650805,13.317964020951088,278.0678710937193,10.0,5261.284804318402,9298.3,42.3258538684852,1909923.6152945012,22.061741351249914,1713769358489.7166,63.81038374717833,1.9910411461283555,0.022573363431151242
1,2477.135156250048,852.8344093322785,27068.227453412463,2.1296377207355053,324.4729396310078,0.04852231140542215,302.27264446313796,2.29048294341061e-05,108.63537906137184,97.65944645006017,7.763097743362943,7.773187104753264,4412.665984013737,1681.8212049387907,6.058680947097978,11.31213591778064,130.03186035154954,6.058680947097978,11.31213591778064,130.03186035154954,4.0,4316.414060147604,4921.5,44.986632818666635,2828522.565381766,0.026113886234316097,-44753180568.82131,95.11111111111111,2.447637102541681,0.014336917562724014
1,2494.608903808643,914.9602272033744,23806.923566804526,2.3580785909721396,122.95049566494335,0.0702498779294352,62.792814169570825,3.0212424002584726e-06,104.69811320754717,96.4644412191582,6.005715246403741,8.605313631051667,6689.7730268414725,1459.3544132821435,7.290708404440073,18.175361358336946,272.06640625000455,7.290708404440073,18.175361358336946,272.06640625000455,1.0,6929.996738765553,0.0,45.777373757901046,2129715.303566069,0.0564548309542788,-96750575750.31662,63.977777777777774,2.59488316094111,0.0044444444444444444
1,2422.782656250048,867.621162414555,11719.3691751241,0.5922468355910452,32.02008765119018,0.02811070960578456,31.52948880825098,4.793354180077701e-06,114.98288843258042,76.072553045859,6.29941137774295,9.623469790374964,6230.607144819884,1264.8856246147147,4.90259107166315,14.745368817232668,290.0708007812301,4.90259107166315,14.745368817232668,290.0708007812301,3.0,6429.24753828972,116.66666666666667,32.54831850942732,1599935.6433569572,0.010880629638983548,66.2931452871549,55.299794661190965,0.6552263885498166,0.006160164271047228
1,2393.766240234374,1237.817573547363,23141.469180795706,1.0499646859438698,81.1886713945935,0.031640625,39.10587482014201,7.102081140542005e-05,117.63962670495334,84.35032304379038,5.312848542040855,7.298886033068928,6695.20282420578,1311.2417568415208,6.947536617090794,25.517369249816976,670.1635742187523,6.947536617090794,25.517369249816976,670.1635742187523,2.0,6598.060313737311,94.5,35.22734071391747,1719354.944884838,6.81162822986721,1713771479105.5603,52.84368308351178,1.119067783275357,0.004282655246252677
1,2387.5264013672354,1142.927380371096,22241.96242140948,0.9507940624125207,111.25210188865276,0.03626092529315669,109.67279924944896,1.4671031452716254e-05,120.85972568578553,79.30486284289277,3.4265702721354714,7.436733450270451,6670.0851074846605,1391.9691286036796,4.548101774138983,14.322028309737412,184.04492187500546,4.548101774138983,14.322028309737412,184.04492187500546,2.0,6227.656241395416,352.0,33.12180786269104,1937578.0549856871,25.08521475908043,1713771576593.582,49.89365671641791,1.03722516778697,0.0037313432835820895
1,948.3837451171871,753.0515785217304,4228.0365143709605,0.36098380578337724,24.44279514101537,0.012567819866719938,23.9115488814007,1.7389948540959678e-05,63.771597633136096,122.6319526627219,9.276487524153547,7.300144230064708,6299.005726831201,1660.5391616538504,7.609917450993888,21.593345555263,294.07177734381594,7.609917450993888,21.593345555263,294.07177734381594,3.0,6729.283364868164,2751.3333333333335,31.4148671128386,2757390.307386073,1232.2662770402467,1713764938642.2908,91.7132867132867,0.39912026771686204,0.01048951048951049
1,896.1875683593792,747.62578125,5933.8412557002575,0.3741597939337487,13.691792449952118,0.025890153556174713,10.440663514426655,2.9083308420918364e-05,56.83250743310208,119.06442021803767,4.7489236203354555,4.208458589110447,6578.690853727585,1243.5074467598872,5.275002258666277,15.873168564451781,228.05566406254593,5.275002258666277,15.873168564451781,228.05566406254593,0.0,6819.0639503318935,0.0,65.12849754748575,1546310.7701472938,-0.36969754886480866,666.967805020204,64.88787878787879,0.408510794727285,0.0
1,1057.0875292968767,720.605895996096,8513.637461285896,0.4046319132695176,42.959936516920976,0.016918661549267893,42.34066897409702,1.0237109429635238e-05,60.29526813880126,110.6422712933754,5.424284533131008,6.844049608235595,7091.77099353297,1195.179601674842,3.2277109271065196,11.645892895892603,274.0668945312973,3.2277109271065196,11.645892895892603,274.0668945312973,2.0,7284.985312139014,10211.5,60.537623741770744,1428454.280259634,0.02974940198859193,-50983492176.64368,45.10845588235294,0.44121321703122324,0.003676470588235294
0,2264.409990234374,657.6305053710961,16428.12425562256,0.40258504011586976,8.240773069863105,0.020697272805390344,0.4962084167029405,3.9110176368268726e-07,89.82077393075356,122.26748133061778,16.43011973343384,3.0548220474634653,3237.11502456406,888.3082517485792,0.9559456543402899,1.4494937644072092,11.532226562496149,0.9559456543402899,1.4494937644072092,11.532226562496149,1.0,3285.483651129756,0.0,54.285141113474474,789091.5501246172,-0.023843333321192133,119.62544372388561,76.61838440111421,0.4201943158305894,0.002785515320334262
