Class,Width,Height,Length,Velocity,P_max_V,P_min_V,P_max_A,P_min_A,GA_mean_H,GA_mean_V,GA_SD_H,GA_SD_V,PressureMean,PressureSD,PCAvgPos,PCSDPos,PCMax,PCAvgNeg,PCSDNeg,PCMin,Error,PeakpresMean,ErrorStopTime,AngleMean,AngleVar,ReglineSlope,ReglineIntercept,LoopCount,AngleSpeed,ErrorRate
1,2413.9334701650414,833.5404900236969,21449.65023552412,3.1275257020114715,190.6906843342496,0.1781191054353266,168.53702005315353,2.2900381684438627e-05,105.7124296137115,93.59928052490685,4.462869198042894,4.870761305311249,6354.485349396474,1256.9410515953707,6.411319009359968,19.50820345721461,312.3973827529986,6.411319009359968,19.50820345721461,312.3973827529986,1.0,6411.09091678282,901.5218149509924,32.09597681035457,1579943.560072466,11.621093521546577,1713769953902.9795,61.79771848518127,3.4319746517867404,0.0098695241608752
1,1342.2387890625023,348.06917724609605,6261.677747014496,0.415268758196445,60.877394792315165,0.0135363182655512,59.6888737665409,1.007080141071648e-05,59.154795821462486,117.03703703703704,5.025388799545612,5.242553614300675,6055.881604287925,1495.5310871312076,6.751223327774149,37.12884486549683,1121.273864746107,6.751223327774149,37.12884486549683,1121.273864746107,3.0,6285.000582629486,8275.333333333334,60.81698833850702,2236613.2325758515,0.0503147114212858,-86227610855.18912,86.0264705882353,0.4702985187881968,0.0088235294117647
1,885.1779076895277,871.6263108335081,9653.317869254784,1.0316142082186823,32.5506047760732,0.0784844226406938,21.286646547848186,2.081858843553612e-05,69.66645510154933,103.94432963601292,3.644476603876672,5.244734330638678,6040.110855577915,1357.3317171354324,5.7429752992412535,16.021558890332358,247.47735324746708,5.7429752992412535,16.021558890332358,247.47735324746708,3.0,6249.536660668701,4972.067599529769,52.27619603163468,1846563.3695777336,26.99953143597425,1713766699917.1409,57.710847847122544,1.09733190892223,0.0116205229832155
1,2304.570296098065,885.91463777184,20230.72150910752,0.7638521501975997,80.26937069163006,0.0241449440135467,78.90602144440558,1.32733123963506e-06,112.99030375951442,72.90495213253905,2.239702221261396,6.073025909128832,7045.316478348508,1114.981686538679,3.682164929634711,11.930365817781585,275.7142239172837,3.682164929634711,11.930365817781585,275.7142239172837,5.0,7043.395171512716,5448.020925852195,33.53361902967221,1248003.1332849977,28.844603436556795,1713771607555.9685,46.001496181229385,0.8208908287228611,0.0098996171516151
1,2413.9334701650414,833.5404900236969,21449.65023552412,3.1275257020114715,190.6906843342496,0.1781191054353266,168.53702005315353,2.2900381684438627e-05,105.7124296137115,93.59928052490685,4.462869198042894,4.870761305311249,6354.485349396474,1256.9410515953707,6.411319009359968,19.50820345721461,312.3973827529986,6.411319009359968,19.50820345721461,312.3973827529986,1.0,6411.09091678282,901.5218149509924,32.09597681035457,1579943.560072466,11.621093521546577,1713769953902.9795,61.79771848518127,3.4319746517867404,0.0098695241608752
1,2454.8951513672355,838.579682922363,21706.21731871317,3.12825501987464,289.1558202380837,0.1000116838738076,284.35189793465946,1.1723955140041652e-14,109.0543259557344,95.69014084507042,5.168439662680068,6.564549478765084,6344.193176730538,1263.144741707005,6.915682848117995,18.40776961841421,264.06445312499727,6.915682848117995,18.40776961841421,264.06445312499727,0.0,6446.059922575955,0.0,40.67605988420925,1595534.6385020572,12.096074782521487,1713769904142.1516,62.30952380952381,3.5490708127166,0.0
1,2487.0064013672354,848.3672241210961,22080.97167841356,2.568865455683123,159.4417816268119,0.0267112165176692,158.80909641668285,0.0001229091272442,109.38880248833593,87.64541213063764,7.015203713590317,5.874751133561799,5282.823461886698,1958.2041842878723,12.15413064476845,72.08196926528281,1484.3627929687657,12.15413064476845,72.08196926528281,1484.3627929687657,1.0,5219.888539835957,0.0,38.22625586094385,3834563.627362532,0.0477577993520053,-81845872398.83107,72.34928229665071,2.8981302481599327,0.0047846889952153
1,1734.2755999222663,690.4145534519274,14329.26684739169,0.8668642809349404,88.74907300604467,0.0097111658129162,65.54763838971508,1.446952969545734e-05,85.03215480592426,89.10600081403219,4.428124602654501,6.41131782246913,7319.243909283918,1244.6078784330748,3.203895579214204,11.604727423234053,197.4394223859105,3.203895579214204,11.604727423234053,197.4394223859105,1.0,7115.876027243326,43.10341086218664,49.2544960488904,1629923.0113717262,14.464934772084586,687807753504.7218,79.89422393413783,0.9286704488463328,0.0048579722611342
1,2487.0064013672354,848.3672241210961,22080.97167841356,2.568865455683123,159.4417816268119,0.0267112165176692,158.80909641668285,0.0001229091272442,109.38880248833593,87.64541213063764,7.015203713590317,5.874751133561799,5282.823461886698,1958.2041842878723,12.15413064476845,72.08196926528281,1484.3627929687657,12.15413064476845,72.08196926528281,1484.3627929687657,1.0,5219.888539835957,0.0,38.22625586094385,3834563.627362532,0.0477577993520053,-81845872398.83107,72.34928229665071,2.8981302481599327,0.0047846889952153
1,1700.639125133263,504.7009566642356,11214.333814913743,1.08951021283208,91.73563098487487,0.0176610750375834,90.72112933297716,4.539787868447251e-05,74.88190469322859,107.83519717810576,5.648353955308943,5.4404800763448975,5813.85492999983,1640.3833625882346,8.442748994080706,48.07186194333472,1234.9486337558478,8.442748994080706,48.07186194333472,1234.9486337558478,2.0,5951.53856816729,5684.517332002639,53.74435104075648,2736894.6454670983,0.0495142012259558,-84855789606.53305,81.7444583898485,1.2303966368492616,0.007559061630646
