Class,Width,Height,Length,Velocity,P_max_V,P_min_V,P_max_A,P_min_A,GA_mean_H,GA_mean_V,GA_SD_H,GA_SD_V,PressureMean,PressureSD,PCAvgPos,PCSDPos,PCMax,PCAvgNeg,PCSDNeg,PCMin,Error,PeakpresMean,ErrorStopTime,AngleMean,AngleVar,ReglineSlope,ReglineIntercept,LoopCount,AngleSpeed,ErrorRate
1,2445.7208032208773,845.0209852877053,20726.482975864183,2.3785436619145,79.01683439767758,0.0700146989540619,40.55743448986176,2.933285363628868e-05,112.77271046648178,92.73720615004716,9.193991687855169,9.086459641603966,5971.660769944055,2074.8560844724966,7.859366989571851,60.294168073511365,1325.040234014345,7.859366989571851,60.294168073511365,1325.040234014345,4.0,5944.179593256271,1663.5277498591513,40.72838150582927,4352159.58687566,0.0790224674873089,-135426321239.35783,64.76819030212756,2.558558813058746,0.0282754265189785
1,2320.9450328942585,368.2042225890822,8807.49436628668,0.5263814131787479,40.72984929490394,0.0270237888788617,39.58547984508294,2.4201643896265128e-05,112.46867484048684,77.74885200147237,3.4826903330543817,4.792657293718127,7733.725516083008,969.499271687646,1.9186104263427983,10.87050270228474,229.17705464126084,1.9186104263427983,10.87050270228474,229.17705464126084,0.0,7232.370857109237,654.0458549887644,33.75710001370282,977201.130236282,60.989933315552506,1713771639313.2173,40.43844296075972,0.5851881083861694,0.0012496236918704
1,2445.7208032208773,845.0209852877053,20726.482975864183,2.3785436619145,79.01683439767758,0.0700146989540619,40.55743448986176,2.933285363628868e-05,112.77271046648178,92.73720615004716,9.193991687855169,9.086459641603966,5971.660769944055,2074.8560844724966,7.859366989571851,60.294168073511365,1325.040234014345,7.859366989571851,60.294168073511365,1325.040234014345,4.0,5944.179593256271,1663.5277498591513,40.72838150582927,4352159.58687566,0.0790224674873089,-135426321239.35783,64.76819030212756,2.558558813058746,0.0282754265189785
1,2436.958343868607,837.5902669988035,20553.01415469031,2.355472332642897,78.44519504536477,0.0693415120491836,40.4046777782671,2.9051728837179066e-05,112.1178010074886,92.93118482876284,9.130654680834231,9.03786660601205,5974.549193786923,2062.6251841411186,7.801174986462512,59.70063346009256,1311.2788269155292,7.801174986462512,59.70063346009256,1311.2788269155292,4.0,5949.731827831242,1704.7667370732634,40.9796514490542,4314406.761036756,0.0787876701636901,-135023929921.39954,64.53556438038738,2.5338507701676134,0.027998734043495
1,1694.3661622661446,365.3888701068354,9195.129738544303,0.9085289995697694,52.000995487507694,0.0325623811805436,42.36637581472283,8.777456371721874e-06,72.55692416615679,109.15466076625404,6.57973377072062,6.29468475199167,5837.071879589342,1434.468828120193,5.089712247143359,23.448530534549672,452.450903095839,5.089712247143359,23.448530534549672,452.450903095839,2.0,5937.675532310834,6073.334179077997,57.93321119003428,2240624.3641577214,2.907824735355616,322766412058.0843,58.91149962386427,0.9970102034348765,0.0113639806342221
1,1790.4073157320163,207.3575635208348,5842.322855344277,0.3878844558087535,36.6726421811249,0.0107948775323797,35.8277221475016,4.970935298775864e-06,55.96522327257228,109.18740617446248,3.825020483572119,5.645876648267749,6345.677184159158,930.5948632894052,2.664916063224991,8.359873901915762,137.66655434277726,2.664916063224991,8.359873901915762,137.66655434277726,2.0,6483.118356589469,5631.401328010549,62.10517167622093,903304.4640203584,2.730771719383128,296448320237.5185,43.48879857329703,0.4322994246324925,0.0037608441124232
1,2075.8982384491023,649.4359849629569,15943.94232555659,1.792302730819943,62.31776026988919,0.0571866132643191,34.00081583889679,2.093077035046599e-05,97.08770065431736,99.9907872063473,8.482712112856463,7.806201371306775,5778.361821324077,1892.9417258497008,6.9926728086880106,46.65352043674646,993.2515571779048,6.9926728086880106,46.65352043674646,993.2515571779048,4.0,5846.875785623933,3393.906013907292,47.878073124819394,3695712.404882352,0.0695314226713264,-119160796656.30376,64.38282079163879,1.9321059718277027,0.0224769262970766
1,2407.827540173861,669.3555002324626,17327.155961294804,1.6956852254522017,155.30150968290994,0.0311679001389435,151.21743452919603,1.877062225637209e-05,92.40895391647418,97.25574786306365,4.135468156197006,7.033910442480183,7118.558041718188,1221.1884082619144,5.09879348072783,29.763605087850067,624.3568643148396,5.09879348072783,29.763605087850067,624.3568643148396,2.0,6611.049938181669,5481.761092243603,47.61182596160764,1647396.020326072,12.596338046066975,1713768625733.64,51.31418650092738,1.8955041189725448,0.0080068077590879
1,2412.3482439353743,657.8653648537675,16735.85912016927,1.55617879864734,139.0450819518132,0.0336581702551406,135.3378147366206,2.3330414343016168e-05,106.7748393007447,88.41577087748757,3.651526348679786,5.721923507596336,7428.212392193061,1250.5904960260443,4.602467044550462,27.40322752293549,565.554262364339,4.602467044550462,27.40322752293549,565.554262364339,1.0,6822.350923174193,3558.1807632870227,40.25944788467747,1653268.8077891597,29.230785683173057,1713770225611.2473,49.94218650641317,1.7376788015964475,0.0063576102527183
1,1694.3661622661446,365.3888701068354,9195.129738544303,0.9085289995697694,52.000995487507694,0.0325623811805436,42.36637581472283,8.777456371721874e-06,72.55692416615679,109.15466076625404,6.57973377072062,6.29468475199167,5837.071879589342,1434.468828120193,5.089712247143359,23.448530534549672,452.450903095839,5.089712247143359,23.448530534549672,452.450903095839,2.0,5937.675532310834,6073.334179077997,57.93321119003428,2240624.3641577214,2.907824735355616,322766412058.0843,58.91149962386427,0.9970102034348765,0.0113639806342221
